82 15 2 0 1
276 51 6 0 1
42 8 3 0 1
145 27 5 0 1
34 6 4 0 1
112 20 1 0 1
446 90 12 3 1
78 14 3 0 1
106 18 1 0 1
55 9 2 0 1
39 8 3 0 1
108 18 3 0 1
38 8 1 0 1
42 7 3 0 1
58 12 2 0 1
60 12 2 2 1
80 13 1 0 1
119 18 5 0 1
65 11 2 0 1
85 12 3 0 1
140 30 3 1 1
194 35 5 4 1
166 31 0 5 0
45 6 3 0 1
59 10 3 0 1
52 9 1 1 1
51 9 3 0 1
77 11 5 0 1
87 11 2 0 1
42 11 0 0 1
57 10 2 0 1
532 89 5 7 0
82 9 2 0 1
104 18 3 1 1
168 28 5 1 1
118 17 5 0 1
76 14 2 0 1
130 24 4 0 1
276 61 1 3 0
303 51 7 2 1
49 6 2 0 1
63 15 2 0 0
295 50 5 0 1
246 46 2 2 1
48 6 3 0 1
205 36 7 0 1
79 14 3 0 1
100 16 5 2 0
42 8 3 0 1
164 28 4 0 1
76 13 4 1 1
53 9 3 0 1
83 16 3 1 1
39 7 2 1 1
84 14 5 0 1
83 13 3 1 1
79 15 3 0 1
53 9 1 1 1
63 10 5 0 1
147 25 3 3 1
72 14 3 0 1
142 23 2 0 1
55 6 2 1 1
225 35 5 0 1
74 13 3 0 1
165 28 6 0 1
532 83 2 1 0
178 28 4 1 1
100 18 2 1 1
130 24 4 0 1
276 61 1 3 0
303 51 7 2 1
44 7 1 0 1
166 28 2 2 1
101 15 4 0 1
85 15 0 0 1
126 20 0 1 1
73 14 3 0 0
120 24 2 2 1
49 9 3 0 1
66 11 2 0 1
106 18 1 0 1
62 12 2 0 1
276 54 2 2 0
95 17 3 1 1
160 29 4 1 1
176 32 3 0 1
104 20 4 1 1
140 27 1 1 1
74 13 3 0 1
345 67 4 0 1
532 83 2 1 0
102 19 2 1 1
128 22 5 0 1
124 20 6 0 1
87 14 2 0 1
179 32 4 0 1
221 38 3 1 1
80 17 1 1 1
90 16 5 1 1
110 22 4 0 1
266 49 2 4 1
88 16 5 1 1
64 11 2 0 1
106 21 5 0 1
71 11 3 0 1
60 11 3 0 1
56 8 2 0 1
74 11 5 0 1
237 40 4 0 1
202 38 5 1 1
51 10 4 0 1
226 42 7 1 1
123 20 4 2 1
100 16 3 0 1
